Registro_ANS;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP
424099;RUA SENADOR DANTAS;117;SALA 1219;CENTRO;Rio de Janeiro;RJ;20031911
421391;RUA CLÃUDIO SOARES;72;14Âº ANDAR, CONJUNTO 1417;PINHEIROS;SÃ£o Paulo;SP;5422030
424307;Rua JoÃ£o Pessoa de Matos;530;Sala 603;Praia da Costa;Vila Velha;ES;29101115
423521;RUA MARANHAO;575;SALA 1012 - EDIFICIO TORRE SUL;PRAIA DA COSTA;Vila Velha;ES;29101340
406481;RUA FLÃ“RIDA;1595;14Âº ANDAR, PARTE;BROOKLIN NOVO ;SÃ£o Paulo;SP;4565001
380661;ALAMEDA SANTOS;1827;17Âº ANDAR;CERQUEIRA CESAR;SÃ£o Paulo;SP;1419002
412015;RUA AUGUSTO DE VASCONCELLOS;544;LOJA 148;CAMPO GRANDE;Rio de Janeiro;RJ;23050340
416703;FAZENDA CARAÃBA;S/N;CENTRO;DISTRITO DE PILAR;Jaguarari;BA;48967000
422061;RUA DA QUITANDA;62;SALA 701;CENTRO;Rio de Janeiro;RJ;20011030
421677;RUA MARECHAL DEODORO;869;CONJ 806 ANDAR 08 EDIFÃCIO CENTER TOWER;CENTRO;Curitiba;PR;80060010
420140;AVENIDA RIO BRANCO;114;SALA 301;CENTRO;Rio de Janeiro;RJ;20040001
351351;AVENIDA INDEPENDÃŠNCIA ;1339;;JARDIM SUMARÃ‰;RibeirÃ£o Preto;SP;14025390
421847;RUA DA QUITANDA;62;SALA 701;CENTRO;Rio de Janeiro;RJ;20011030
418650;RUA DOM MANUEL;29;1Âª ANDAR;CENTRO;Rio de Janeiro;RJ;20010090
304441;AV. JERÃ”NIMO PIRES;1234;;CENTRO;BelÃ©m do SÃ£o Francisco;PE;56440000
421286;AVENIDA DAS AMERICAS;500;BLOCO 04, SALA 313;BARRA DA TIJUCA;Rio de Janeiro;RJ;22640904
415057;RUA PARA;422;;CENTRO;Morrinhos;GO;75650000
421146;PRAÃ‡A SAMUEL SABATINI;226;BLOCO 01, SALAS 308/309;CENTRO;SÃ£o Bernardo do Campo;SP;9750700
305928;RUA BENJAMIN CONSTANT;577;;CENTRO;SÃ£o JosÃ© do Rio Pardo;SP;13720000
372609;RUA URSULA ERCOLE CUMIN;211;TERREO;SAMAMBAIA;Campo Magro;PR;83535000
348520;AVENIDA PAULISTA;867;6Âº ANDAR, CONJUNTO 61, SALA 2;BELA VISTA;SÃ£o Paulo;SP;1311100
359017;AVENIDA PAULISTA;867;;BELA VISTA;SÃ£o Paulo;SP;1311100
423661;RUA NILO PEÃ‡ANHA;50;SALA 2517;CENTRO;Rio de Janeiro;RJ;20020906
417840;AVENIDA CARLOS GOMES;222;CONJUNTO 901;BOA VISTA;Porto Alegre;RS;90480000
352888;Avenida das AmÃ©ricas;3500;Le Monde Office, bloco 01, sala 613;Barra da Tijuca ;Rio de Janeiro;RJ;22640102
422754;AVENIDA YOJIRO TAKAOKA;4384;SALA 701;ALPHAVILLE;Santana de ParnaÃ­ba;SP;6541038
422088;ALAMEDA SANTOS;1357;9Âº ANDAR;JARDIM PAULISTA;SÃ£o Paulo;SP;1419001
421464;Rua Dos  Andradas;1091;Sala 61;Centro Historico;Porto Alegre;RS;90020015
310981;AV. TAMBORÃ‰;267;15Âº ANDAR, CJ 151-B PARTE, BL NORTE;TAMBORÃ‰;Barueri;SP;6460000
312321;RUA JOÃƒO PICOLLI ;322;SALAS 602 a 604;CENTRO;JaraguÃ¡ do Sul;SC;89251590
406414;RUA 24 DE MAIO;1365;LOJA 01 - ANDAR TÃ‰RREO;REBOUÃ‡AS;Curitiba;PR;80230080
422851;AV RIO JUTAI;26;QD 36 - COND. RESID. ISAIAS VIEIRA;NOSSA SENHORA DAS GRACAS;Manaus;AM;69053020
422622;MARIA NAZARE LACERDA;165;LOJA 13;JARDIM DO LAGO;Nova Serrana;MG;35522000
405671;AVENIDA CAÃ‡APAVA;146;;PETROPOLIS;Porto Alegre;RS;90460130
418994;AVENIDA EUSÃ‰BIO DE QUEIROZ;2752;SALA 07 E 10;COITÃ‰;EusÃ©bio;CE;61760000
419281;AVENIDA DAS NAÃ‡Ã•ES UNIDAS;10989;2Âº ANDAR, CONJUNTO 22;ALTO DE PINHEIROS;SÃ£o Paulo;SP;4578000
414387;RUA DESEMBARGADOR LEITE ALBUQUERQUE;635;COBERTURA;ALDEOTA;Fortaleza;CE;60150150
344486;RUA ALEXANDRE HERCULANO;197;SALA 2001;GONZAGA;Santos;SP;11050031
423491;Rua Artur de Azevedo;1697;Salas 1 e 2;Pinheiros;SÃ£o Paulo;SP;5404014
418111;AVENIDA RIO BRANCO ;209;SALA 3;SÃ£O PELEGRINO;Caxias do Sul;RS;95010060
422924;RUA DOUTOR PEDRO MONTEIRO;54;SALA 02;CENTRO;MaceiÃ³;AL;57020380
389854;SAUS QUADRA 04 - BL. A;SALAS 1101/1112;ED. VICTORIA OFFICE TOWER;ASA SUL;BrasÃ­lia;DF;70070938
417831;RUA ABRÃƒO ANTONIO;453;;JARDIM PLANALTO;Birigui;SP;16203520
419184;RUA CORONEL CASCUDO;331;;CIDADE ALTA;Natal;RN;59025260
